# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-t" "gene" "-g" "ID" "-s" "1" "-a" "annotation.gff" "-o" "counts.txt" "SRR10379724.bam" "SRR10379722.bam" "SRR10379725.bam" "SRR10379726.bam" "SRR10379723.bam" "SRR10379721.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379724.bam	SRR10379722.bam	SRR10379725.bam	SRR10379726.bam	SRR10379723.bam	SRR10379721.bam
gene-SAOUHSC_00818	CP000253.1	800034	800720	+	687	46	114	56	5	160	254
gene-SAOUHSC_00819	CP000253.1	801077	801277	+	201	91452	38233	61378	14237	33085	52909
gene-SAOUHSC_00820	CP000253.1	801773	801991	-	219	3057	1595	2726	276	1331	1791
gene-SAOUHSC_00821	CP000253.1	802053	802337	-	285	1790	895	1629	206	644	893
gene-SAOUHSC_00822	CP000253.1	802425	802994	-	570	881	316	1173	312	221	397
gene-SAOUHSC_00823	CP000253.1	803182	803370	-	189	2273	728	1923	225	909	953
gene-SAOUHSC_00824	CP000253.1	803399	803659	-	261	2070	678	2725	312	752	911
gene-SAOUHSC_00825	CP000253.1	804000	804203	+	204	440	687	401	41	705	909
gene-SAOUHSC_00826	CP000253.1	804200	804436	-	237	14949	4443	14474	943	2818	4192
gene-SAOUHSC_00827	CP000253.1	804682	805242	+	561	1551	5363	1307	450	6416	7094
gene-SAOUHSC_00828	CP000253.1	805315	805932	-	618	6099	1262	5572	537	1351	1682
gene-SAOUHSC_00830	CP000253.1	806087	806581	-	495	7139	6900	6304	463	6815	8423
gene-SAOUHSC_00831	CP000253.1	806980	807402	-	423	6410	2842	7502	3525	1736	2529
gene-SAOUHSC_00832	CP000253.1	807550	808266	+	717	485	501	565	35	464	679
gene-SAOUHSC_00833	CP000253.1	808349	808888	+	540	4278	6866	6504	1387	5821	8636
gene-SAOUHSC_00834	CP000253.1	809038	809358	-	321	2715	1234	2232	837	741	1651
gene-SAOUHSC_00835	CP000253.1	809502	809858	+	357	3154	365	5464	129	221	475
gene-SAOUHSC_00836	CP000253.1	810016	810396	+	381	11954	3531	16605	1044	2595	4235
gene-SAOUHSC_00837	CP000253.1	810460	810573	+	114	74	52	150	7	52	48
gene-SAOUHSC_00838	CP000253.1	810575	811453	+	879	1151	1479	1139	112	1040	1437
gene-SAOUHSC_00839	CP000253.1	811872	811985	+	114	144	177	141	54	116	191
gene-SAOUHSC_00840	CP000253.1	812195	812581	+	387	1573	1052	1379	219	740	1023
gene-SAOUHSC_00841	CP000253.1	812574	812870	+	297	1064	608	1210	157	501	544
gene-SAOUHSC_00842	CP000253.1	813120	814145	+	1026	30766	10425	54230	11151	12980	13367
gene-SAOUHSC_00843	CP000253.1	814138	814833	+	696	10867	5613	20439	3873	6536	7123
gene-SAOUHSC_00844	CP000253.1	814851	815672	+	822	16653	11068	37120	3095	15725	15440
gene-SAOUHSC_00845	CP000253.1	816026	816220	+	195	122792	54936	129953	5856	36963	69303
gene-SAOUHSC_00846	CP000253.1	816453	817304	-	852	469	799	360	81	976	975
gene-SAOUHSC_00847	CP000253.1	817632	818393	+	762	26726	57021	26394	6105	42660	55019
gene-SAOUHSC_00848	CP000253.1	818491	819798	+	1308	44182	98837	37128	8512	79611	105757
gene-SAOUHSC_00849	CP000253.1	819904	821154	+	1251	45451	109750	47200	19332	89905	117395
gene-SAOUHSC_00850	CP000253.1	821144	821608	+	465	18442	50003	21083	7115	41103	51876
gene-SAOUHSC_00851	CP000253.1	821759	823156	+	1398	49849	113051	61808	9542	97849	129571
gene-SAOUHSC_00852	CP000253.1	823343	823480	+	138	14	46	19	5	46	47
gene-SAOUHSC_00853	CP000253.1	823486	823800	-	315	295	52	180	17	79	81
gene-SAOUHSC_00854	CP000253.1	824165	825205	+	1041	6031	1628	6955	1405	1163	1785
gene-SAOUHSC_00855	CP000253.1	825219	826286	+	1068	3035	1033	4028	2354	705	1121
gene-SAOUHSC_00857	CP000253.1	826353	826451	+	99	46	50	81	47	39	41
gene-SAOUHSC_00858	CP000253.1	826499	827347	+	849	1442	771	1716	127	521	929
gene-SAOUHSC_00859	CP000253.1	827360	828187	+	828	954	452	1101	232	390	627
gene-SAOUHSC_00860	CP000253.1	828214	829533	+	1320	2648	1543	3263	373	1100	1929
gene-SAOUHSC_00861	CP000253.1	829617	830534	+	918	17577	9690	18957	4083	7087	10282
gene-SAOUHSC_00862	CP000253.1	830664	831047	+	384	1353	643	1369	140	465	718
gene-SAOUHSC_00863	CP000253.1	831126	831392	-	267	878	690	1010	46	584	909
gene-SAOUHSC_00864	CP000253.1	831490	831924	+	435	899	297	1070	46	213	309
gene-SAOUHSC_00865	CP000253.1	831924	832703	+	780	1982	725	2031	337	645	937
gene-SAOUHSC_00866	CP000253.1	832811	833695	+	885	2887	1659	3460	644	1355	2075
gene-SAOUHSC_00867	CP000253.1	833949	834059	+	111	1	1	3	1	1	1
gene-SAOUHSC_00868	CP000253.1	834056	834259	+	204	2258	346	8203	189	425	343
gene-SAOUHSC_00869	CP000253.1	834275	835732	+	1458	35591	11023	53931	3368	8816	12440
gene-SAOUHSC_00870	CP000253.1	835729	836943	+	1215	14785	5733	14788	649	5676	7163
gene-SAOUHSC_00871	CP000253.1	836961	837197	+	237	3087	1315	5520	179	1668	1686
gene-SAOUHSC_00872	CP000253.1	837194	838369	+	1176	18378	9545	19876	1037	9021	12352
gene-SAOUHSC_00873	CP000253.1	838632	838874	-	243	6250	4408	5377	987	4478	7028
gene-SAOUHSC_00874	CP000253.1	838975	839298	+	324	447	567	451	51	873	1106
gene-SAOUHSC_00875	CP000253.1	839357	840421	-	1065	8832	8514	8234	3321	7054	10926
gene-SAOUHSC_00876	CP000253.1	840738	840974	+	237	1931	883	3002	462	590	1232
gene-SAOUHSC_00877	CP000253.1	840987	841346	+	360	2956	1437	3101	802	885	1797
gene-SAOUHSC_00878	CP000253.1	841800	843008	+	1209	25267	13293	27151	6331	10601	17228
gene-SAOUHSC_00879	CP000253.1	843139	844614	+	1476	2505	1401	3566	476	937	1869
gene-SAOUHSC_00880	CP000253.1	845025	846341	+	1317	9837	6764	6260	1061	5228	7803
gene-SAOUHSC_00881	CP000253.1	846360	846734	+	375	4564	4074	4749	765	3172	4822
gene-SAOUHSC_00882	CP000253.1	846790	847944	-	1155	258	4266	408	63	3453	8204
gene-SAOUHSC_00883	CP000253.1	848193	848549	-	357	3706	1624	4511	456	1692	2481
gene-SAOUHSC_00884	CP000253.1	848527	848820	-	294	1432	680	1437	742	523	809
gene-SAOUHSC_00885	CP000253.1	848820	849299	-	480	5452	2493	9272	809	2373	2959
gene-SAOUHSC_00886	CP000253.1	849301	850797	-	1497	13582	6363	16136	2385	5080	7315
gene-SAOUHSC_00887	CP000253.1	850790	851119	-	330	3427	1526	5209	505	1174	1746
gene-SAOUHSC_00888	CP000253.1	851131	851559	-	429	3747	1423	4458	499	1196	1716
gene-SAOUHSC_00889	CP000253.1	851552	853957	-	2406	21657	7238	28324	4064	5184	8186
gene-SAOUHSC_00890	CP000253.1	854088	854471	-	384	418	96	516	49	70	117
gene-SAOUHSC_00891	CP000253.1	854535	855128	+	594	5072	3277	5236	2586	2587	4509
gene-SAOUHSC_00892	CP000253.1	855577	855921	+	345	6979	5358	8767	2170	3659	5837
gene-SAOUHSC_00893	CP000253.1	856283	857410	+	1128	3179	1056	5501	1745	596	1280
gene-SAOUHSC_00894	CP000253.1	857718	858908	+	1191	15189	5726	19464	2737	2865	5237
gene-SAOUHSC_00895	CP000253.1	859017	860261	+	1245	24147	17025	31412	7490	10719	17252
gene-SAOUHSC_00896	CP000253.1	860487	860678	+	192	835	1786	843	904	1045	1976
gene-SAOUHSC_00897	CP000253.1	860764	861693	-	930	630	723	939	105	901	975
gene-SAOUHSC_00898	CP000253.1	861935	863314	-	1380	1137	29733	7383	569	43591	32933
gene-SAOUHSC_00899	CP000253.1	863304	864509	-	1206	941	14923	7070	1307	21643	16619
gene-SAOUHSC_00900	CP000253.1	864860	866191	+	1332	21542	6792	21533	3186	5227	9459
gene-SAOUHSC_00901	CP000253.1	866516	867091	+	576	4024	1307	7005	391	1223	1682
gene-SAOUHSC_00902	CP000253.1	867096	867620	+	525	3707	2024	5678	1123	1714	2230
gene-SAOUHSC_00903	CP000253.1	867744	868211	+	468	2748	2348	3565	268	1676	2699
gene-SAOUHSC_00904	CP000253.1	868371	871847	+	3477	5849	4760	7296	877	3930	5415
gene-SAOUHSC_00905	CP000253.1	871848	875501	+	3654	10734	10210	12813	2373	9411	12559
gene-SAOUHSC_00906	CP000253.1	875667	876569	+	903	20046	7571	25542	7518	5716	9382
gene-SAOUHSC_00907	CP000253.1	876898	877287	+	390	1394	960	1498	488	928	1429
gene-SAOUHSC_00908	CP000253.1	877458	878774	-	1317	11728	5327	13179	4774	3346	5996
gene-SAOUHSC_00909	CP000253.1	878826	879650	-	825	3673	1941	4002	700	1275	2235
gene-SAOUHSC_00910	CP000253.1	879806	880072	+	267	5815	3081	7442	914	1909	2881
gene-SAOUHSC_00911	CP000253.1	880619	882433	+	1815	533	1503	524	37	1686	2603
gene-SAOUHSC_00912	CP000253.1	882636	885245	+	2610	59109	361293	18972	1753	242608	370625
gene-SAOUHSC_00913	CP000253.1	885304	886173	-	870	51	37	54	1	46	71
gene-SAOUHSC_00914	CP000253.1	886283	887428	+	1146	48	876	36	3	594	601
gene-SAOUHSC_00915	CP000253.1	887412	888053	+	642	72	447	82	7	385	307
gene-SAOUHSC_00916	CP000253.1	888046	889164	+	1119	93	205	73	10	191	201
gene-SAOUHSC_00917	CP000253.1	889148	889663	+	516	140	263	178	20	159	193
gene-SAOUHSC_00918	CP000253.1	889974	890408	+	435	675	1617	633	469	1723	2042
gene-SAOUHSC_00919	CP000253.1	890665	890850	-	186	3807	1275	2753	122	984	1612
gene-SAOUHSC_00920	CP000253.1	891145	892086	+	942	4063	1590	7666	3225	1527	1942
gene-SAOUHSC_00921	CP000253.1	892098	893342	+	1245	17764	6759	27709	16668	5967	8377
gene-SAOUHSC_00922	CP000253.1	893397	893768	-	372	230	25	168	6	27	63
gene-SAOUHSC_00923	CP000253.1	894011	894937	+	927	5198	392	4805	463	359	484
gene-SAOUHSC_00924	CP000253.1	894937	896007	+	1071	4829	579	5566	1098	547	679
gene-SAOUHSC_00925	CP000253.1	896024	897106	+	1083	7921	1317	11618	3094	1344	1411
gene-SAOUHSC_00926	CP000253.1	897096	898037	+	942	8300	1269	12485	3040	1679	1697
gene-SAOUHSC_00927	CP000253.1	898056	899711	+	1656	22674	4862	30735	6600	6327	7138
gene-SAOUHSC_00928	CP000253.1	899923	901638	+	1716	448	261	712	108	272	492
gene-SAOUHSC_00929	CP000253.1	901689	902675	+	987	155	99	253	19	87	147
gene-SAOUHSC_00930	CP000253.1	902678	903658	+	981	135	102	239	53	91	175
gene-SAOUHSC_00931	CP000253.1	903651	904613	+	963	151	86	238	20	125	189
gene-SAOUHSC_00932	CP000253.1	904625	905506	+	882	359	333	490	125	367	582
gene-SAOUHSC_00933	CP000253.1	905548	906537	-	990	5072	2652	6377	533	3210	3921
gene-SAOUHSC_00934	CP000253.1	906832	907227	+	396	203508	306557	252737	36561	283007	377083
gene-SAOUHSC_00935	CP000253.1	907598	908317	+	720	31493	29782	39578	3338	19188	34136
gene-SAOUHSC_00936	CP000253.1	908438	909424	+	987	52	194	73	6	202	222
gene-SAOUHSC_00937	CP000253.1	909472	911280	+	1809	5900	826	8247	822	703	1234
gene-SAOUHSC_00938	CP000253.1	911740	912546	-	807	3529	2488	4257	466	2125	3333
gene-SAOUHSC_00939	CP000253.1	912569	912886	-	318	2193	919	2623	195	759	1297
gene-SAOUHSC_00940	CP000253.1	913038	913631	-	594	1246	335	956	71	226	462
gene-SAOUHSC_00941	CP000253.1	913817	914164	+	348	2073	1187	2985	121	977	1447
gene-SAOUHSC_00942	CP000253.1	914181	914816	+	636	4800	3306	6804	964	2516	3882
gene-SAOUHSC_00943	CP000253.1	914833	915642	+	810	7060	5595	7929	1531	4377	6744
gene-SAOUHSC_00944	CP000253.1	915639	916493	+	855	2322	1612	3274	465	1496	2095
gene-SAOUHSC_00945	CP000253.1	916514	917899	+	1386	3862	3074	6256	1147	2637	3429
gene-SAOUHSC_00946	CP000253.1	917909	919753	+	1845	7446	4939	8784	1209	4622	6004
gene-SAOUHSC_00947	CP000253.1	920031	920801	+	771	13875	8648	13728	1611	7316	11073
gene-SAOUHSC_00948	CP000253.1	920996	922081	-	1086	12009	3146	11991	665	2839	3867
gene-SAOUHSC_00949	CP000253.1	922423	923991	+	1569	17230	783	19863	2313	425	654
gene-SAOUHSC_00950	CP000253.1	924133	924891	+	759	2318	623	2349	253	528	726
gene-SAOUHSC_00951	CP000253.1	925085	925594	+	510	13970	7019	15276	1082	6396	9899
gene-SAOUHSC_00952	CP000253.1	925707	926915	-	1209	3350	4360	2927	253	4447	6615
gene-SAOUHSC_00953	CP000253.1	926875	928050	-	1176	5790	5293	6702	607	4812	7190
gene-SAOUHSC_00954	CP000253.1	928483	929964	+	1482	4790	3888	6173	1662	3757	4702
gene-SAOUHSC_00955	CP000253.1	929948	930208	+	261	750	623	1431	198	917	897
gene-SAOUHSC_00956	CP000253.1	930208	931770	+	1563	7628	7888	9825	2195	9367	10749
gene-SAOUHSC_00957	CP000253.1	932072	932875	+	804	8357	3252	6944	4106	2324	3644
gene-SAOUHSC_00958	CP000253.1	933094	935418	+	2325	2121	1746	2991	262	1797	2376
gene-SAOUHSC_00959	CP000253.1	935435	936793	+	1359	4573	5292	5661	538	5872	7204
gene-SAOUHSC_00960	CP000253.1	936932	938443	+	1512	4285	1580	4747	720	1673	2495
gene-SAOUHSC_T00049	CP000253.1	938623	938711	-	89	163	213	11	302	108	274
gene-SAOUHSC_T0008	CP000253.1	938714	938788	-	75	107	236	45	74	281	295
gene-SAOUHSC_00961	CP000253.1	938930	939460	-	531	524	9745	539	52	17179	15703
gene-SAOUHSC_00962	CP000253.1	939709	939927	+	219	40331	2979	64021	13465	1616	2803
gene-SAOUHSC_00963	CP000253.1	940008	940994	-	987	1871	1002	3313	218	839	1381
gene-SAOUHSC_00964	CP000253.1	941193	941369	+	177	2138	1566	2344	78	1229	1768
gene-SAOUHSC_00965	CP000253.1	941384	941986	+	603	7747	4391	6051	680	5006	6112
gene-SAOUHSC_00966	CP000253.1	942257	942364	+	108	1986	1748	616	1522	988	2138
gene-SAOUHSC_00967	CP000253.1	942903	943004	+	102	2	0	9	1	2	2
gene-SAOUHSC_00968	CP000253.1	943330	945294	+	1965	882	193	917	119	234	290
gene-SAOUHSC_00969	CP000253.1	945297	945617	+	321	220	124	285	26	192	198
gene-SAOUHSC_00970	CP000253.1	945614	946255	+	642	379	342	295	49	380	533
gene-SAOUHSC_00971	CP000253.1	946343	946633	-	291	1007	526	279	38	1001	984
gene-SAOUHSC_00972	CP000253.1	946912	947199	+	288	380	77	361	21	79	110
gene-SAOUHSC_00973	CP000253.1	947205	947912	+	708	975	239	792	75	311	341
gene-SAOUHSC_00974	CP000253.1	947905	948687	+	783	1488	1370	1631	87	1437	2133
gene-SAOUHSC_00975	CP000253.1	948776	949132	-	357	4083	509	3533	98	482	746
gene-SAOUHSC_00976	CP000253.1	949716	950579	+	864	287	664	269	57	694	886
gene-SAOUHSC_00977	CP000253.1	950625	950756	-	132	2328	487	2825	210	276	498
gene-SAOUHSC_00978	CP000253.1	950820	951110	-	291	154	59	117	8	65	71
gene-SAOUHSC_00979	CP000253.1	951200	951751	+	552	620	185	673	66	127	279
gene-SAOUHSC_00980	CP000253.1	951802	952740	-	939	3963	5085	4363	478	6792	8172
gene-SAOUHSC_00981	CP000253.1	952891	952995	+	105	148	209	108	20	156	289
gene-SAOUHSC_00982	CP000253.1	953072	954283	+	1212	1354	1783	1493	125	1578	2579
gene-SAOUHSC_00983	CP000253.1	954270	955943	+	1674	6647	5403	8498	2101	3991	7232
gene-SAOUHSC_00984	CP000253.1	955930	956733	+	804	3667	3263	4207	657	3042	4862
gene-SAOUHSC_00985	CP000253.1	956726	957547	+	822	11620	9421	11436	3668	6861	11983
gene-SAOUHSC_00986	CP000253.1	957786	958115	-	330	314	1078	429	50	1794	2072
gene-SAOUHSC_00987	CP000253.1	958153	959334	-	1182	943	3141	1050	125	5300	5672
gene-SAOUHSC_00988	CP000253.1	959416	960426	-	1011	428	2093	497	176	3802	3915
gene-SAOUHSC_00989	CP000253.1	960954	962108	-	1155	8508	2175	13214	1411	1618	2336
gene-SAOUHSC_00991	CP000253.1	962304	963314	-	1011	1328	533	1174	73	548	622
gene-SAOUHSC_00992	CP000253.1	963467	963886	+	420	292	1049	255	16	1437	1622
gene-SAOUHSC_00993	CP000253.1	963913	964023	+	111	63	221	40	2	293	339
gene-SAOUHSC_00994	CP000253.1	964093	967863	-	3771	61620	23484	61987	18885	23450	24665
gene-SAOUHSC_00995	CP000253.1	968091	968525	-	435	628	303	798	184	268	361
gene-SAOUHSC_00996	CP000253.1	968680	969150	-	471	7494	8544	9153	573	10016	14123
gene-SAOUHSC_00997	CP000253.1	969198	970415	-	1218	16049	17240	23621	3255	19571	26096
gene-SAOUHSC_00998	CP000253.1	970866	972059	+	1194	1944	7908	1815	72	11491	12155
gene-SAOUHSC_00999	CP000253.1	972596	972874	-	279	19355	11135	14687	2400	7187	12019
gene-SAOUHSC_01000	CP000253.1	972883	973488	-	606	39597	23203	40120	10817	16675	24769
gene-SAOUHSC_01001	CP000253.1	973478	975466	-	1989	131414	71859	148729	56462	53772	72887
gene-SAOUHSC_01002	CP000253.1	975466	976566	-	1101	71168	31805	85386	18285	22905	30341
gene-SAOUHSC_01003	CP000253.1	976868	976990	+	123	28	15	37	3	53	56
gene-SAOUHSC_01005	CP000253.1	977138	977455	-	318	9827	20180	18062	759	18075	24247
gene-SAOUHSC_01007	CP000253.1	978261	979121	-	861	11949	14005	14943	1713	13806	19719
gene-SAOUHSC_01008	CP000253.1	979385	979804	+	420	6978	1872	7376	3187	1145	1662
gene-SAOUHSC_01009	CP000253.1	979791	980915	+	1125	14276	5480	23865	3863	3667	4796
gene-SAOUHSC_01010	CP000253.1	980919	981623	+	705	4036	1558	7304	1797	1087	1438
gene-SAOUHSC_01011	CP000253.1	981623	981886	+	264	2913	1130	3561	459	881	1200
gene-SAOUHSC_01012	CP000253.1	981888	982559	+	672	7474	3488	13383	2256	2667	3494
gene-SAOUHSC_01013	CP000253.1	982552	984741	+	2190	41222	17626	42481	14853	14658	19703
gene-SAOUHSC_01014	CP000253.1	984720	986204	+	1485	40587	17336	44981	8939	16211	21154
gene-SAOUHSC_01015	CP000253.1	986197	987225	+	1029	32383	15235	41188	12009	14623	17738
gene-SAOUHSC_01016	CP000253.1	987228	987794	+	567	18917	9610	29111	4551	9633	11555
gene-SAOUHSC_01017	CP000253.1	987809	989287	+	1479	51092	28674	75112	15891	27919	34143
gene-SAOUHSC_01018	CP000253.1	989309	990556	+	1248	62567	36784	70792	23300	40078	50444
gene-SAOUHSC_01019	CP000253.1	990821	991627	-	807	955	1484	1009	67	2325	2467
gene-SAOUHSC_01021	CP000253.1	991620	993020	-	1401	3887	4869	4210	907	5270	5900
gene-SAOUHSC_01022	CP000253.1	993035	993610	-	576	2289	1203	2472	480	1334	1516
gene-SAOUHSC_01023	CP000253.1	993974	994093	+	120	27	59	31	9	71	96
gene-SAOUHSC_01024	CP000253.1	994194	994328	-	135	5100	1348	5015	98	742	1460
gene-SAOUHSC_01025	CP000253.1	994480	995775	+	1296	25782	15317	31665	5299	13297	16341
gene-SAOUHSC_01026	CP000253.1	996200	997372	+	1173	2507	1016	3955	513	830	1142
gene-SAOUHSC_01027	CP000253.1	997426	997968	+	543	20019	7251	14663	5883	5003	7795
gene-SAOUHSC_01028	CP000253.1	998122	998388	+	267	24345	10816	19919	7243	6911	10980
gene-SAOUHSC_01029	CP000253.1	998391	1000109	+	1719	149184	84269	131534	32749	54082	83810
gene-SAOUHSC_01030	CP000253.1	1000346	1000579	-	234	455	302	304	11	340	536
gene-SAOUHSC_01031	CP000253.1	1000777	1002138	+	1362	5191	7460	5512	1085	6135	10086
gene-SAOUHSC_01032	CP000253.1	1002135	1003154	+	1020	4316	5845	5054	294	4809	7992
gene-SAOUHSC_01034	CP000253.1	1003287	1003949	+	663	6106	5608	8698	2579	3979	6587
gene-SAOUHSC_A00992	CP000253.1	1003967	1004122	+	156	1181	1398	1295	399	895	1412
gene-SAOUHSC_01035	CP000253.1	1004298	1005995	-	1698	34011	17652	30026	3137	13384	24743
gene-SAOUHSC_01036	CP000253.1	1005995	1006213	-	219	2959	1254	4473	260	1176	1810
gene-SAOUHSC_01037	CP000253.1	1006242	1006364	-	123	354	138	785	5	101	119
gene-SAOUHSC_01038	CP000253.1	1006694	1007245	-	552	2075	1409	2062	290	1304	2199
gene-SAOUHSC_01039	CP000253.1	1007610	1008236	+	627	5620	2158	6293	260	2096	3452
gene-SAOUHSC_01040	CP000253.1	1008407	1009519	+	1113	33066	33831	21649	7501	25329	36550
gene-SAOUHSC_01041	CP000253.1	1009523	1010500	+	978	26377	24579	15055	12838	19257	28665
gene-SAOUHSC_01042	CP000253.1	1010591	1011883	+	1293	55739	52990	34749	18769	39525	58935
gene-SAOUHSC_01043	CP000253.1	1011887	1013293	+	1407	80881	65026	36960	13099	52208	81585
gene-SAOUHSC_01044	CP000253.1	1013461	1013736	+	276	1000	623	1302	238	516	772
gene-SAOUHSC_01045	CP000253.1	1013880	1014419	+	540	1267	1423	2166	87	1246	1280
gene-SAOUHSC_01046	CP000253.1	1014432	1015526	+	1095	1717	2766	3023	129	2319	2386
gene-SAOUHSC_01047	CP000253.1	1015519	1016316	+	798	617	1117	1027	84	1128	1107
gene-SAOUHSC_01048	CP000253.1	1016322	1017131	+	810	1246	2361	1814	108	2392	2420
gene-SAOUHSC_01049	CP000253.1	1017131	1018204	+	1074	4954	6174	5880	4232	5590	6584
gene-SAOUHSC_01050	CP000253.1	1018278	1019297	+	1020	32214	28767	48036	6484	30254	38266
gene-SAOUHSC_01051	CP000253.1	1019580	1019999	+	420	3629	856	5025	606	654	1234
gene-SAOUHSC_01053	CP000253.1	1020081	1021433	-	1353	496	559	600	51	748	1004
gene-SAOUHSC_01054	CP000253.1	1021617	1022231	-	615	1742	696	2060	241	445	1124
gene-SAOUHSC_01055	CP000253.1	1022388	1023215	+	828	8914	14845	9204	3410	12638	19591
gene-SAOUHSC_01057	CP000253.1	1023313	1023600	+	288	148	125	111	4	96	155
gene-SAOUHSC_01058	CP000253.1	1023662	1025509	+	1848	14282	14685	11572	2387	17386	20882
gene-SAOUHSC_01060	CP000253.1	1025649	1025816	-	168	1085	728	1218	132	586	852
gene-SAOUHSC_01061	CP000253.1	1025818	1026300	-	483	2458	1268	2626	240	1258	1815
gene-SAOUHSC_01062	CP000253.1	1026441	1026716	+	276	6670	2278	4890	347	1888	2811
gene-SAOUHSC_01063	CP000253.1	1027030	1028256	+	1227	6184	3375	7480	862	3253	4660
gene-SAOUHSC_01064	CP000253.1	1028810	1032262	+	3453	53757	14450	51824	13019	11930	18253
gene-SAOUHSC_01065	CP000253.1	1032402	1033472	-	1071	7385	4053	8293	1924	3619	5347
gene-SAOUHSC_01066	CP000253.1	1033753	1034664	+	912	9639	4385	10722	1816	2503	3648
gene-SAOUHSC_01067	CP000253.1	1034689	1035150	+	462	6523	2783	8445	434	2067	2878
gene-SAOUHSC_01068	CP000253.1	1035362	1035565	+	204	230	56	452	34	88	70
gene-SAOUHSC_01069	CP000253.1	1035693	1036514	+	822	5084	2860	6232	670	2275	3475
gene-SAOUHSC_01070	CP000253.1	1036530	1036964	+	435	2319	1499	2571	401	1232	1895
gene-SAOUHSC_01071	CP000253.1	1037027	1037953	-	927	2307	1061	3797	668	795	1426
gene-SAOUHSC_01072	CP000253.1	1038192	1038446	+	255	987	396	998	27	265	491
gene-SAOUHSC_01073	CP000253.1	1038449	1038838	-	390	399	150	329	29	114	199
gene-SAOUHSC_01074	CP000253.1	1038980	1039450	+	471	1059	769	1682	372	961	1256
gene-SAOUHSC_01075	CP000253.1	1039452	1039934	+	483	1838	1550	2266	346	2007	2603
gene-SAOUHSC_01076	CP000253.1	1039996	1041135	-	1140	451	244	493	54	195	349
gene-SAOUHSC_01077	CP000253.1	1041262	1041819	+	558	25225	40229	24966	3105	44276	48631
gene-SAOUHSC_A01041	CP000253.1	1041731	1041955	-	225	11	15	12	0	9	29
gene-SAOUHSC_01078	CP000253.1	1041899	1042030	+	132	5372	6224	6633	784	9074	9348
gene-SAOUHSC_01079	CP000253.1	1042227	1044164	-	1938	355	725	405	72	744	1103
gene-SAOUHSC_01081	CP000253.1	1044368	1045420	-	1053	1561	533	2896	404	466	855
gene-SAOUHSC_01082	CP000253.1	1045629	1046312	+	684	324	165	381	35	119	194
gene-SAOUHSC_01084	CP000253.1	1046312	1047388	+	1077	342	256	500	16	259	390
gene-SAOUHSC_01085	CP000253.1	1047415	1048263	+	849	152	217	207	17	176	303
gene-SAOUHSC_01086	CP000253.1	1048276	1049052	+	777	68	73	115	10	69	103
gene-SAOUHSC_01087	CP000253.1	1048947	1049240	+	294	33	43	34	6	35	51
gene-SAOUHSC_01088	CP000253.1	1049302	1050036	+	735	76	81	100	13	98	139
gene-SAOUHSC_01089	CP000253.1	1050055	1050378	+	324	43	53	87	3	71	100
gene-SAOUHSC_01090	CP000253.1	1050415	1050522	+	108	1	2	0	0	1	6
gene-SAOUHSC_01091	CP000253.1	1050762	1051502	+	741	4522	1764	4789	682	1625	2298
gene-SAOUHSC_01092	CP000253.1	1051883	1052941	+	1059	1404	820	1591	420	589	878
gene-SAOUHSC_01093	CP000253.1	1052941	1055343	+	2403	7919	3646	10019	1603	3393	5051
gene-SAOUHSC_01095	CP000253.1	1055514	1056452	-	939	963	497	1055	264	389	677
gene-SAOUHSC_01096	CP000253.1	1056822	1057082	+	261	1662	1184	2042	199	1069	1467
gene-SAOUHSC_01097	CP000253.1	1057090	1057611	+	522	2129	1875	2084	84	1644	2540
gene-SAOUHSC_01098	CP000253.1	1057684	1059396	+	1713	4236	4235	3949	332	3000	5324
gene-SAOUHSC_01099	CP000253.1	1059406	1061754	+	2349	8953	8262	8835	1510	6447	10005
gene-SAOUHSC_01100	CP000253.1	1061927	1062241	+	315	16061	7647	13650	1384	4145	9453
gene-SAOUHSC_01101	CP000253.1	1062304	1062399	-	96	12	8	6	0	17	26
gene-SAOUHSC_01102	CP000253.1	1062634	1064346	+	1713	6495	4436	8127	1650	3085	4720
gene-SAOUHSC_01103	CP000253.1	1064670	1065284	+	615	12802	8490	12450	1381	5868	8329
gene-SAOUHSC_01104	CP000253.1	1065336	1067102	+	1767	49930	52416	57046	20094	37324	52116
gene-SAOUHSC_01105	CP000253.1	1067102	1067917	+	816	30234	36063	27498	5641	27136	38636
gene-SAOUHSC_01106	CP000253.1	1068153	1068953	+	801	6414	3694	7930	1500	2352	4044
gene-SAOUHSC_01107	CP000253.1	1068965	1069552	+	588	4319	2589	4859	524	1813	3038
gene-SAOUHSC_01108	CP000253.1	1069545	1070048	+	504	4645	3178	5716	286	1947	3443
gene-SAOUHSC_01109	CP000253.1	1070176	1070343	+	168	4	0	2	0	2	0
gene-SAOUHSC_01110	CP000253.1	1070537	1070866	+	330	21228	9873	8986	247	7895	14985
gene-SAOUHSC_01111	CP000253.1	1071183	1071275	-	93	2	0	1	0	3	1
gene-SAOUHSC_01112	CP000253.1	1071235	1071636	-	402	586	472	440	14	459	792
gene-SAOUHSC_01113	CP000253.1	1072308	1072814	+	507	524	694	536	40	1165	1119
gene-SAOUHSC_01114	CP000253.1	1073073	1073570	+	498	9158	5147	4834	462	4285	7271
gene-SAOUHSC_01115	CP000253.1	1073724	1074074	+	351	5891	3191	3376	142	3027	4948
